"t [s]","Acceleration a_x [m/s^2]","Acceleration a_y [m/s^2]","Acceleration a_z [m/s^2]"
2.392853907E1,-6.553905766E-2,1.081125896E-1,-3.987058619E-1
2.413087965E1,-2.155615644E-2,5.763501074E-2,-2.012542821E-1
2.433324819E1,3.473642396E-2,-3.344450091E-2,4.455322754E-2
2.453561600E1,6.454481730E-2,-1.193015612E-1,2.820627777E-1
2.473798163E1,7.016167990E-2,-1.556608582E-1,4.443602765E-1
2.494034725E1,5.843860347E-2,-1.163923421E-1,4.729675258E-1
2.514271725E1,3.590860599E-2,-1.481710247E-2,3.652365062E-1
2.534508413E1,2.144311114E-2,7.157601780E-2,1.399176499E-1
2.554744850E1,2.839088440E-3,1.086685926E-1,-1.084063387E-1
2.574981689E1,-1.728453287E-2,7.539314540E-2,-3.044111772E-1
2.595214949E1,-3.616063188E-2,-1.147486669E-2,-4.104145038E-1
2.615455840E1,-4.034040032E-2,-9.970272641E-2,-4.034199337E-1
2.635691538E1,-2.571466492E-2,-1.618137236E-1,-2.710176314E-1
2.655929173E1,1.318924601E-2,-1.409595720E-1,-4.843355824E-2
2.676164647E1,4.637908936E-2,-4.832797225E-2,1.929471115E-1
2.696401074E1,5.975907023E-2,4.728352878E-2,3.739894192E-1
2.716638006E1,4.335698849E-2,1.056461043E-1,4.325726178E-1
2.736874298E1,2.794763519E-2,1.050502578E-1,3.750814054E-1
2.757110892E1,2.323353000E-2,2.696028788E-2,2.093206150E-1
2.777347817E1,2.689633718E-2,-7.122093366E-2,1.206698941E-3
2.797584671E1,7.659004956E-3,-1.423600472E-1,-2.123213367E-1
2.817820806E1,-2.325269653E-2,-1.546905817E-1,-3.637600803E-1
2.838059634E1,-3.851167167E-2,-9.203011815E-2,-3.996165511E-1
2.858293530E1,-3.801252784E-2,9.646342658E-3,-3.017548279E-1
2.878530192E1,-1.376707961E-2,8.155780958E-2,-1.060364566E-1
2.898767077E1,2.064814219E-2,1.005234755E-1,1.022461769E-1
2.919003327E1,4.813831608E-2,5.396243784E-2,2.804350533E-1
2.939240197E1,5.507390092E-2,-3.089644197E-2,3.879346877E-1
2.959476437E1,4.733985808E-2,-1.150573965E-1,3.882834330E-1
2.979712749E1,3.497716857E-2,-1.499869020E-1,2.735692350E-1
2.999949603E1,2.240778760E-2,-1.079833996E-1,6.976075289E-2
3.020185520E1,4.176186352E-3,-1.935991972E-2,-1.414271724E-1
3.040422369E1,-2.084169155E-2,6.160143418E-2,-2.947898216E-1
3.060660285E1,-4.496372037E-2,9.248154774E-2,-3.590810197E-1
3.080895041E1,-4.411767169E-2,6.011302806E-2,-3.104610298E-1
3.101131562E1,-1.644190346E-2,-1.934024546E-2,-1.774944474E-1
3.121367801E1,1.986994394E-2,-9.756490406E-2,1.925059499E-2
3.141604489E1,4.602867220E-2,-1.416968520E-1,2.097356407E-1
3.161840999E1,5.287119237E-2,-1.232092304E-1,3.511621603E-1
3.182079186E1,4.478491806E-2,-3.687731831E-2,3.790497315E-1
3.202313749E1,2.634916073E-2,5.034545100E-2,2.961847753E-1
3.222550233E1,1.084150919E-2,9.306932077E-2,1.301727818E-1
3.242786749E1,-1.560536827E-4,7.693599782E-2,-5.498861830E-2
3.263023166E1,-7.486599248E-3,4.168085936E-3,-2.228379569E-1
3.283261009E1,-2.029623636E-2,-7.865546898E-2,-3.233538706E-1
3.303496067E1,-3.072289723E-2,-1.366145166E-1,-3.225645917E-1
3.323732176E1,-1.809396976E-2,-1.439204385E-1,-2.193179552E-1
3.343968046E1,5.356811896E-3,-7.022047643E-2,-4.141626271E-2
3.364205197E1,3.064267228E-2,1.937492046E-2,1.408947561E-1
3.384441254E1,4.013561621E-2,8.211568289E-2,2.831348617E-1
3.404680176E1,3.108247897E-2,9.364369148E-2,3.488326073E-1
3.424914520E1,2.509991716E-2,4.036401685E-2,3.094119764E-1
3.445151197E1,2.129273298E-2,-4.442442554E-2,1.853552940E-1
3.465387265E1,1.911428498E-2,-1.198176089E-1,1.002591121E-2
3.485623770E1,1.713124717E-3,-1.436641609E-1,-1.571637610E-1
3.505859733E1,-1.577802984E-2,-9.564569956E-2,-2.804889039E-1
3.526096280E1,-3.139856385E-2,-1.439469126E-2,-3.141253707E-1
3.546332765E1,-3.339062667E-2,5.716298484E-2,-2.402989835E-1
3.566568968E1,-1.645141695E-2,8.364720170E-2,-9.715924757E-2
3.586805275E1,1.795103492E-2,5.444305990E-2,7.649046328E-2
3.607041645E1,3.895005947E-2,-1.431133544E-2,2.216894161E-1
3.627279562E1,4.049003415E-2,-9.227396148E-2,3.081579645E-1
3.647514452E1,3.961877125E-2,-1.332836028E-1,3.146751770E-1
3.667750655E1,2.622662521E-2,-1.086167680E-1,2.346388014E-1
3.687983291E1,1.677955069E-2,-3.420790194E-2,7.009233207E-2
3.708223634E1,-1.871806819E-3,4.190530755E-2,-1.000341773E-1
3.728459489E1,-2.112965467E-2,7.548686935E-2,-2.358147473E-1
3.748695629E1,-3.367077432E-2,5.708853065E-2,-2.851385707E-1
3.768932322E1,-2.863058230E-2,-1.067272774E-3,-2.513024327E-1
3.789168280E1,-9.170485706E-3,-7.615005788E-2,-1.461447347E-1
3.809405379E1,1.698275310E-2,-1.285455418E-1,5.914784059E-3
3.829641218E1,3.268709415E-2,-1.211607442E-1,1.679091395E-1
3.849878879E1,3.961074643E-2,-5.758453015E-2,2.853962648E-1
3.870114785E1,3.088585923E-2,2.636964401E-2,3.112657768E-1
3.890351233E1,1.835746300E-2,7.919178067E-2,2.393894835E-1
3.910586744E1,9.210260903E-3,7.294653247E-2,1.053842132E-1
3.930822645E1,1.744782052E-3,2.474120550E-2,-4.636811774E-2
3.951058822E1,-2.301169605E-3,-5.534570392E-2,-1.740950840E-1
3.971295098E1,-1.651466184E-2,-1.209850148E-1,-2.552506124E-1
3.991532942E1,-2.548164275E-2,-1.384664149E-1,-2.623562159E-1
4.011767332E1,-1.579552162E-2,-8.740544301E-2,-1.748172830E-1
4.032003520E1,-7.306308281E-4,-4.837906942E-3,-3.239497034E-2
4.052239817E1,2.100193210E-2,6.061901915E-2,1.259180889E-1
4.072476442E1,2.763762125E-2,7.924691424E-2,2.344691346E-1
4.092712327E1,2.814076586E-2,4.819822820E-2,2.801758313E-1
4.112948541E1,2.835196984E-2,-2.607738318E-2,2.562002787E-1
4.133184879E1,2.502985698E-2,-9.448150927E-2,1.597079591E-1
4.153420910E1,1.302912177E-2,-1.232346360E-1,1.811118969E-2
4.173657338E1,-3.406640960E-3,-9.641739599E-2,-1.262241311E-1
4.193894546E1,-1.431423280E-2,-2.491363447E-2,-2.272209409E-1
4.214129671E1,-2.955736765E-2,4.020863226E-2,-2.488689859E-1
4.234365525E1,-2.993492964E-2,7.373218565E-2,-1.857206196E-1
4.254601785E1,-1.407125520E-2,5.413292167E-2,-7.331086513E-2
4.274837957E1,1.260101504E-2,-3.600888136E-3,5.946763841E-2
4.295074218E1,3.532100305E-2,-6.843355407E-2,1.808486799E-1
4.315310473E1,3.627795708E-2,-1.152795206E-1,2.646802315E-1
4.335546838E1,3.252666753E-2,-1.009108635E-1,2.668448280E-1
4.355782462E1,2.329533275E-2,-4.084657114E-2,1.894103434E-1
4.376019447E1,1.006375290E-2,3.110093787E-2,5.525083949E-2
4.396255285E1,-8.386472376E-3,7.274401115E-2,-8.144919320E-2
4.416492192E1,-1.754700265E-2,6.160679678E-2,-1.796155005E-1
4.436727114E1,-2.385286006E-2,1.402794661E-2,-2.298357559E-1
4.456963379E1,-2.077188724E-2,-5.796087152E-2,-2.072857589E-1
4.477199421E1,-9.292672320E-3,-1.071931200E-1,-1.171898260E-1
4.497435728E1,1.227890573E-2,-1.099138565E-1,1.996525032E-2
4.517671770E1,2.667120026E-2,-6.201911827E-2,1.540815191E-1
4.537908124E1,3.398990631E-2,1.152533693E-2,2.457686227E-1
